Date,Notifying Member,Region Country,Product Covered,Keywords,Notification
08 Nov 2024,Japan,All Trading Partner,"Natural honey (HS code: 04.09)Edible vegetables and certain roots and tubers (HS codes: 07.01, 07.02, 07.03, 07.04, 07.05, 07.06, 07.07, 07.08, 07.09, 07.10 and 07.14)Edible fruit (HS codes: 08.07, 08.10 and 08.11)Mate and spices (HS codes: 09.03 and 09.10)Oil seeds and oleaginous fruits, miscellaneous grains, seeds and fruit (HS codes: 12.02 and 12.12)",Human health; Food safety; Maximum residue limits (MRLs),G/SPS/N/JPN/1309
08 Nov 2024,Japan,All Trading Partner,"Meat and edible meat offal (HS codes: 02.01, 02.02, 02.03, 02.04, 02.05, 02.06, 02.07, 02.08 and 02.09)Dairy produce, birds' eggs and natural honey (HS codes: 04.01, 04.07, 04.08 and 04.09)Animal originated products (HS code: 05.04)Edible vegetables and certain roots and tubers (HS codes: 07.01, 07.02, 07.03, 07.04, 07.05, 07.06, 07.07, 07.08, 07.09, 07.10, 07.13 and 07.14)Edible fruit and nuts, peel of citrus fruit (HS codes: 08.01, 08.02, 08.03, 08.04, 08.05, 08.06, 08.07, 08.08, 08.09, 08.10, 08.11 and 08.14)Coffee, mate and spices (HS codes: 09.01, 09.03, 09.04, 09.05, 09.06, 09.07, 09.08, 09.09 and 09.10)Cereals (HS codes: 10.01, 10.03, 10.04, 10.05, 10.06, 10.07 and 10.08)Oil seeds and oleaginous fruits, miscellaneous grains, seeds and fruit (HS codes: 12.01, 12.05, 12.06, 12.07 and 12.12)Animal fats and oils (HS codes: 15.01, 15.02 and 15.06)Cacao and cacao preparations (HS code: 18.01)    ",Maximum residue limits (MRLs); Food safety; Human health,G/SPS/N/JPN/1314
08 Nov 2024,Japan,All Trading Partner,"Natural honey (HS code: 04.09)Edible vegetables and certain roots and tubers (HS codes: 07.02, 07.04, 07.07, 07.09 and 07.10)Edible fruit (HS codes: 08.04, 08.06, 08.07, 08.08, 08.09, 08.10 and 08.11)Tea, mate and spices (HS codes: 09.02, 09.03 and 09.10)Oil seeds and oleaginous fruits, miscellaneous grains, seeds and fruit (HS code: 12.12)",Human health; Food safety; Maximum residue limits (MRLs),G/SPS/N/JPN/1308
07 Nov 2024,Chile,All Trading Partner,Maize (Zea mays L.) seeds,Plant health; Pests,G/SPS/N/CHL/808
06 Nov 2024,Tanzania Rep,All Trading Partner,Fresh strawberries (HS code(s): 081010); Fruits and derived products (ICS code(s): 67.080.10),Food safety; Human health,G/SPS/N/TZA/395
06 Nov 2024,Tanzania Rep,All Trading Partner,"Juice of fruit or vegetables, unfermented, whether or not containing added sugar or other sweetening matter (excl. containing spirit, mixtures, and juice of citrus fruit, pineapples, tomatoes, grapes, incl. grape must, apples and cranberries) (HS code(s): 200989); Vegetables and derived products (ICS code(s): 67.080.20)",Human health; Food safety,G/SPS/N/TZA/394
06 Nov 2024,Tanzania Rep,All Trading Partner,"Non-alcoholic beverages (excl. water, fruit or vegetable juices, milk and beer) (HS code(s): 220299); Non-alcoholic beverages (ICS code(s): 67.160.20)",Food safety; Human health,G/SPS/N/TZA/392
06 Nov 2024,Tanzania Rep,All Trading Partner,"Preparations of vegetables, fruit, nuts or other parts of plants (HS code(s): 20); Fruits and derived products (ICS code(s): 67.080.10)",Human health; Food safety,G/SPS/N/TZA/393
04 Nov 2024,Tanzania Rep,All Trading Partner,"Fresh or chilled cabbages, kohlrabi, kale and similar edible brassicas (excl. cauliflowers, headed broccoli and Brussels sprouts) (HS code(s): 070490); Vegetables and derived products (ICS code(s): 67.080.20)",Human health; Food safety,G/SPS/N/TZA/389
04 Nov 2024,Tanzania Rep,All Trading Partner,"Vegetables and mixtures of vegetables, prepared or preserved otherwise than by vinegar, non-frozen (excl. preserved by sugar, homogenised vegetables of subheading 2005.10, and tomatoes, mushrooms, truffles, potatoes, peas ""Pisum sativum"", beans ""VignaPhaseolus"", asparagus, olives, sweetcorn ""Zea Mays var. Saccharata"" and bamboo shoots, unmixed) (HS code(s): 200599); Vegetables and derived products (ICS code(s): 67.080.20)",Food safety; Human health,G/SPS/N/TZA/390
04 Nov 2024,Tanzania Rep,All Trading Partner,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products (excl. crispbread, gingerbread and the like, sweet biscuits, waffles, wafers not mentioned, rusks, toasted bread and similar toasted products) (HS code(s): 190590); Cereals, pulses and derived products (ICS code(s): 67.060)",Human health; Food safety,G/SPS/N/TZA/388
01 Nov 2024,Tanzania Rep,All Trading Partner,"Fresh or chilled fruits of the genus Capsicum or Pimenta (HS code(s): 070960); Fruits, vegetables and derived products in general (ICS code(s): 67.080.01); Leafy vegetables",Human health; Food safety,G/SPS/N/TZA/384
01 Nov 2024,Tanzania Rep,All Trading Partner,Fresh watermelons (HS code(s): 080711); Fruits and derived products (ICS code(s): 67.080.10),Human health; Food safety,G/SPS/N/TZA/385
01 Nov 2024,Tanzania Rep,All Trading Partner,"Fresh tamarinds, cashew apples, jackfruit, lychees, sapodillo plums, passion fruit, carambola, pitahaya and other edible fruit (excl. nuts, bananas, dates, figs, pineapples, avocados, guavas, mangoes, mangosteens, papaws ""papayas"", citrus fruit, grapes, melons, apples, pears quinces, apricots, cherries, peaches, plums, sloes, strawberries, raspberries, mulberries, blackberries, loganberries, cranberries, fruits of the genus Vaccinium, kiwifruit, durians, persimmons, black-, white- and redcurrants and gooseberries) (HS code(s): 081090); Fruits and derived products (ICS code(s): 67.080.10); Fresh annonas",Food safety; Human health,G/SPS/N/TZA/387
01 Nov 2024,Tanzania Rep,All Trading Partner,"Vegetable saps and extracts (excl. liquorice, hops, opium and ephedra) (HS code(s): 130219); Fruits, vegetables and derived products in general (ICS code(s): 67.080.01); Fresh dandelion greens",Human health; Food safety,G/SPS/N/TZA/382
01 Nov 2024,Tanzania Rep,All Trading Partner,Fresh apples (HS code(s): 080810); Fruits and derived products (ICS code(s): 67.080.10),Human health; Food safety,G/SPS/N/TZA/386
01 Nov 2024,Tanzania Rep,All Trading Partner,"Fresh or chilled vegetables n.e.s. (HS code(s): 070999); Fruits, vegetables and derived products in general (ICS code(s): 67.080.01); Fresh rhubarb",Food safety; Human health,G/SPS/N/TZA/383
25 Oct 2024,U K,All Trading Partner,"Products (and associated GB commodity codes*): Blackberries (0153010), dewberries (0153020), raspberries (red and yellow) (0153030), blueberries (0154010), cranberries (0154020), currants (black, red and white) (0154030), gooseberries (green, red and yellow) (0154040), rose hips (0154050), mulberries (black and white) (0154060) and elderberries (0154080)* For reference, the full list of GB commodity codes is set out in Part 1 of the GB pesticides Maximum Residue Level Statutory Register â€“ see link",Human health; Food safety; Maximum residue limits (MRLs),G/SPS/N/GBR/72
25 Oct 2024,Albania,All Trading Partner,Live animals,Animal health; Animal diseases,G/SPS/N/ALB/212
25 Oct 2024,Egypt A Rp,All Trading Partner,Chocolate (ICS code: 67.190),Food safety; Human health,G/SPS/N/EGY/156
23 Oct 2024,Eu Countries,All trading Partner,"Cereals (HS codes: 1001, 1002, 1003, 1004, 1005, 1006, 1007, 1008), foodstuffs of animal origin (HS codes: 0201, 0202, 0203, 0204, 0205, 0206, 0207, 0208, 0209, 0210) and certain products of plant origin, including fruit and vegetables",Maximum residue limits (MRLs); Food safety; Human health; Adoption/publication/entry into force of reg.; Maximum residue limits (MRLs); Human health; Food safety,G/SPS/N/EU/763/Add.1
22 Oct 2024,India,All trading Partner,Food,Human health; Food safety,G/SPS/N/IND/315
22 Oct 2024,India,All trading Partner,Food,Human health; Food safety; Maximum residue limits (MRLs),G/SPS/N/IND/313
22 Oct 2024,India,All trading Partner,Food,Human health; Food safety,G/SPS/N/IND/314
21 Oct 2024,U S A,All trading Partner,Avocados,Human health; Food safety,G/SPS/N/USA/3479
21 Oct 2024,U S A,All trading Partner,Poultry and poultry products,Zoonoses; Salmonella; Food safety; Human health; Modification of final date for comments; Salmonella; Zoonoses; Food safety; Human health,G/SPS/N/USA/3463/Add.2
18 Oct 2024,Korea Rp,All trading Partner,Foods,Human health; Food safety,G/SPS/N/KOR/810
